round,generation,solution_index,client_id,bitstring,selected,available,unavailable,utility,local_test_accuracy,last_round_participated,number_of_times_fitted
0,1,0,0,110001001000101101111011110100,1,1,0,0.1031238688359326,0.0,1,1
0,1,0,1,110001001000101101111011110100,1,1,0,0.9025529066795668,0.0,1,1
0,1,0,5,110001001000101101111011110100,1,1,0,0.8955232284962005,0.729411780834198,1,1
0,1,0,8,110001001000101101111011110100,1,1,0,0.9053819764192635,0.24880382418632507,1,1
0,1,0,12,110001001000101101111011110100,1,1,0,0.950607146937556,0.032786883413791656,1,1
0,1,0,14,110001001000101101111011110100,1,1,0,0.6318372121697993,1.0,1,1
0,1,0,15,110001001000101101111011110100,1,1,0,0.4484455219783197,0.2110091745853424,1,1
0,1,0,17,110001001000101101111011110100,1,1,0,0.3286645453699159,0.0,1,1
0,1,0,18,110001001000101101111011110100,1,1,0,0.6725184560770384,0.05882352963089943,1,1
0,1,0,19,110001001000101101111011110100,1,1,0,0.75237452943768,0.0,1,1
0,1,0,20,110001001000101101111011110100,1,1,0,0.7915790437258485,0.6595744490623474,1,1
0,1,0,22,110001001000101101111011110100,1,0,1,0.0912061030486903,0.09917355328798294,1,1
0,1,0,23,110001001000101101111011110100,1,1,0,0.4944203047025814,0.007352941203862429,1,1
0,1,0,24,110001001000101101111011110100,1,0,1,0.0575587600166442,0.025641025975346565,1,1
0,1,0,25,110001001000101101111011110100,1,1,0,0.5495288823237355,0.03418803587555885,1,1
0,1,0,27,110001001000101101111011110100,1,1,0,0.8877041827582998,0.08849557489156723,1,1
0,1,1,0,111100001100010101000111111001,1,1,0,0.1031238688359326,0.0,1,1
0,1,1,1,111100001100010101000111111001,1,1,0,0.9025529066795668,0.0,1,1
0,1,1,2,111100001100010101000111111001,1,1,0,0.5052523724478571,0.20000000298023224,1,1
0,1,1,3,111100001100010101000111111001,1,1,0,0.8264574661077416,0.1428571492433548,1,1
0,1,1,8,111100001100010101000111111001,1,1,0,0.9053819764192635,0.24880382418632507,1,1
0,1,1,9,111100001100010101000111111001,1,0,1,0.0912866767861335,0.02247191034257412,1,1
0,1,1,13,111100001100010101000111111001,1,1,0,0.5734378881232861,0.27272728085517883,1,1
0,1,1,15,111100001100010101000111111001,1,1,0,0.4484455219783197,0.2110091745853424,1,1
0,1,1,17,111100001100010101000111111001,1,1,0,0.3286645453699159,0.0,1,1
0,1,1,21,111100001100010101000111111001,1,1,0,0.7896181427945539,0.2666666805744171,1,1
0,1,1,22,111100001100010101000111111001,1,0,1,0.0912061030486903,0.09917355328798294,1,1
0,1,1,23,111100001100010101000111111001,1,1,0,0.4944203047025814,0.007352941203862429,1,1
0,1,1,24,111100001100010101000111111001,1,0,1,0.0575587600166442,0.025641025975346565,1,1
0,1,1,25,111100001100010101000111111001,1,1,0,0.5495288823237355,0.03418803587555885,1,1
0,1,1,26,111100001100010101000111111001,1,1,0,0.441530501373377,0.1515151560306549,1,1
0,1,1,29,111100001100010101000111111001,1,1,0,0.1170670164276058,0.04411764815449715,1,1
0,1,2,0,100100110010100000100000010111,1,1,0,0.1031238688359326,0.0,1,1
0,1,2,3,100100110010100000100000010111,1,1,0,0.8264574661077416,0.1428571492433548,1,1
0,1,2,6,100100110010100000100000010111,1,1,0,0.3892016787341631,0.018518518656492233,1,1
0,1,2,7,100100110010100000100000010111,1,0,1,0.0108376514802983,0.0917431190609932,1,1
0,1,2,10,100100110010100000100000010111,1,1,0,0.3193136375904148,0.04597701132297516,1,1
0,1,2,12,100100110010100000100000010111,1,1,0,0.950607146937556,0.032786883413791656,1,1
0,1,2,18,100100110010100000100000010111,1,1,0,0.6725184560770384,0.05882352963089943,1,1
0,1,2,25,100100110010100000100000010111,1,1,0,0.5495288823237355,0.03418803587555885,1,1
0,1,2,27,100100110010100000100000010111,1,1,0,0.8877041827582998,0.08849557489156723,1,1
0,1,2,28,100100110010100000100000010111,1,1,0,0.3509150125520787,0.3199999928474426,1,1
0,1,2,29,100100110010100000100000010111,1,1,0,0.1170670164276058,0.04411764815449715,1,1
0,1,3,0,110100111000011000000001111101,1,1,0,0.1031238688359326,0.0,1,1
0,1,3,1,110100111000011000000001111101,1,1,0,0.9025529066795668,0.0,1,1
0,1,3,3,110100111000011000000001111101,1,1,0,0.8264574661077416,0.1428571492433548,1,1
0,1,3,6,110100111000011000000001111101,1,1,0,0.3892016787341631,0.018518518656492233,1,1
0,1,3,7,110100111000011000000001111101,1,0,1,0.0108376514802983,0.0917431190609932,1,1
0,1,3,8,110100111000011000000001111101,1,1,0,0.9053819764192635,0.24880382418632507,1,1
0,1,3,13,110100111000011000000001111101,1,1,0,0.5734378881232861,0.27272728085517883,1,1
0,1,3,14,110100111000011000000001111101,1,1,0,0.6318372121697993,1.0,1,1
0,1,3,23,110100111000011000000001111101,1,1,0,0.4944203047025814,0.007352941203862429,1,1
0,1,3,24,110100111000011000000001111101,1,0,1,0.0575587600166442,0.025641025975346565,1,1
0,1,3,25,110100111000011000000001111101,1,1,0,0.5495288823237355,0.03418803587555885,1,1
0,1,3,26,110100111000011000000001111101,1,1,0,0.441530501373377,0.1515151560306549,1,1
0,1,3,27,110100111000011000000001111101,1,1,0,0.8877041827582998,0.08849557489156723,1,1
0,1,3,29,110100111000011000000001111101,1,1,0,0.1170670164276058,0.04411764815449715,1,1
0,1,4,0,110000000111101100011001110110,1,1,0,0.1031238688359326,0.0,1,1
0,1,4,1,110000000111101100011001110110,1,1,0,0.9025529066795668,0.0,1,1
0,1,4,9,110000000111101100011001110110,1,0,1,0.0912866767861335,0.02247191034257412,1,1
0,1,4,10,110000000111101100011001110110,1,1,0,0.3193136375904148,0.04597701132297516,1,1
0,1,4,11,110000000111101100011001110110,1,1,0,0.9500619670508048,0.07692307978868484,1,1
0,1,4,12,110000000111101100011001110110,1,1,0,0.950607146937556,0.032786883413791656,1,1
0,1,4,14,110000000111101100011001110110,1,1,0,0.6318372121697993,1.0,1,1
0,1,4,15,110000000111101100011001110110,1,1,0,0.4484455219783197,0.2110091745853424,1,1
0,1,4,19,110000000111101100011001110110,1,1,0,0.75237452943768,0.0,1,1
0,1,4,20,110000000111101100011001110110,1,1,0,0.7915790437258485,0.6595744490623474,1,1
0,1,4,23,110000000111101100011001110110,1,1,0,0.4944203047025814,0.007352941203862429,1,1
0,1,4,24,110000000111101100011001110110,1,0,1,0.0575587600166442,0.025641025975346565,1,1
0,1,4,25,110000000111101100011001110110,1,1,0,0.5495288823237355,0.03418803587555885,1,1
0,1,4,27,110000000111101100011001110110,1,1,0,0.8877041827582998,0.08849557489156723,1,1
0,1,4,28,110000000111101100011001110110,1,1,0,0.3509150125520787,0.3199999928474426,1,1
0,1,5,0,111111101011110101010101000011,1,1,0,0.1031238688359326,0.0,1,1
0,1,5,1,111111101011110101010101000011,1,1,0,0.9025529066795668,0.0,1,1
0,1,5,2,111111101011110101010101000011,1,1,0,0.5052523724478571,0.20000000298023224,1,1
0,1,5,3,111111101011110101010101000011,1,1,0,0.8264574661077416,0.1428571492433548,1,1
